Month,Season,Budget,Temperature,Weather,Activity_Preference,Group_Size,Suggested_Place
March,Spring,High,16,Pleasant,Eco Tourism,1,"Valley of Flowers, Uttarakhand"
November,Autumn,Medium,21,Mild,Cultural,7,Mount Abu
August,Monsoon,Low,21,Rainy,Family Trip,10,Jaisalmer
May,Summer,High,36,Hot,Adventure,10,"Wayanad, Alleppey - Kerala"
September,Autumn,High,16,Mild,Cultural,3,"Manali and Kullu, Himachal Pradesh"
December,Winter,Medium,2,Cold,Adventure,8,"Palolem Beach, Goa"
November,Autumn,Low,25,Mild,Cultural,2,Idukki
February,Winter,Low,12,Cold,Adventure,8,Jammu-Kashmir
May,Summer,Low,33,Hot,Adventure,6,Ooty
July,Monsoon,High,29,Rainy,Family Trip,9,"Bhushi Dam, Lonavala"
December,Winter,Low,13,Cold,Adventure,3,Tawang
March,Spring,High,20,Pleasant,Eco Tourism,7,"Nohkalikai Falls, Cherrapunji"
March,Spring,Low,16,Pleasant,Eco Tourism,1,"Manali and Kullu, Himachal Pradesh"
May,Summer,Low,28,Hot,Adventure,7,"Hampi, Karnataka"
March,Spring,Low,28,Pleasant,Eco Tourism,9,Jaisalmer
April,Spring,Medium,20,Pleasant,Eco Tourism,8,Jaisalmer
July,Monsoon,Medium,21,Rainy,Family Trip,5,Shimla
February,Winter,Medium,6,Cold,Adventure,6,"Nilgiris Tiger Reserves, Karnataka"
February,Winter,Low,1,Cold,Adventure,2,Tawang
June,Monsoon,High,30,Rainy,Family Trip,8,"Kullu-Manali, Himachal Pradesh"
September,Autumn,Low,17,Mild,Cultural,3,"Bhushi Dam, Lonavala"
January,Winter,High,1,Cold,Adventure,9,Munnar
October,Autumn,High,20,Mild,Cultural,8,Coorg
February,Winter,High,12,Cold,Adventure,5,"Tsomgo Lake, Sikkim"
February,Winter,Medium,10,Cold,Adventure,5,Shimla
August,Monsoon,Medium,24,Rainy,Family Trip,6,Kodaikanal
February,Winter,High,-4,Cold,Adventure,10,"Nohkalikai Falls, Cherrapunji"
September,Autumn,Low,21,Mild,Cultural,4,"Sunset Viewpoint, Agumbe"
December,Winter,High,14,Cold,Adventure,7,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
July,Monsoon,High,22,Rainy,Family Trip,1,"Pillar Rocks, Kodaikanal"
February,Winter,Low,8,Cold,Adventure,5,"Kullu-Manali, Himachal Pradesh"
March,Spring,Low,28,Pleasant,Eco Tourism,1,"Palolem Beach, Goa"
November,Autumn,High,21,Mild,Cultural,10,Shillong
October,Autumn,High,22,Mild,Cultural,5,"Sunset Viewpoint, Agumbe"
April,Spring,Low,17,Pleasant,Eco Tourism,7,Munnar
August,Monsoon,Medium,24,Rainy,Family Trip,8,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
February,Winter,Low,-2,Cold,Adventure,7,"Hampi, Karnataka"
June,Monsoon,Low,27,Rainy,Family Trip,10,Wayanad
March,Spring,High,24,Pleasant,Eco Tourism,10,Wayanad
December,Winter,High,5,Cold,Adventure,4,"Sunset Viewpoint, Agumbe"
August,Monsoon,Low,27,Rainy,Family Trip,1,"Manali and Kullu, Himachal Pradesh"
January,Winter,Low,15,Cold,Adventure,1,"Darjeeling, Kalimpong - West Bengal"
September,Autumn,Medium,17,Mild,Cultural,3,Wayanad
September,Autumn,Low,15,Mild,Cultural,6,Rishikesh
May,Summer,Medium,29,Hot,Adventure,5,Jammu-Kashmir
January,Winter,Medium,4,Cold,Adventure,7,"Hampi, Karnataka"
January,Winter,Low,11,Cold,Adventure,5,"Sunset Viewpoint, Agumbe"
March,Spring,Low,22,Pleasant,Eco Tourism,1,"Leh-Ladakh, Jammu & Kashmir"
September,Autumn,Medium,17,Mild,Cultural,1,"Bhushi Dam, Lonavala"
October,Autumn,Medium,25,Mild,Cultural,3,"Attukal Waterfalls, Munnar"
October,Autumn,Low,17,Mild,Cultural,7,"Kullu-Manali, Himachal Pradesh"
May,Summer,High,32,Hot,Adventure,9,Gangtok
January,Winter,Medium,10,Cold,Adventure,5,"Ooty, Tamil Nadu"
November,Autumn,High,20,Mild,Cultural,3,"Abbey Falls, Coorg"
October,Autumn,High,18,Mild,Cultural,8,"Ooty, Tamil Nadu"
February,Winter,High,-5,Cold,Adventure,9,"Kullu-Manali, Himachal Pradesh"
April,Spring,Medium,20,Pleasant,Eco Tourism,3,"Ooty, Tamil Nadu"
April,Spring,High,19,Pleasant,Eco Tourism,3,Shimla
July,Monsoon,High,20,Rainy,Family Trip,1,"Kullu-Manali, Himachal Pradesh"
July,Monsoon,High,28,Rainy,Family Trip,3,Shimla
April,Spring,Medium,24,Pleasant,Eco Tourism,10,"Sunset Viewpoint, Agumbe"
June,Monsoon,Low,22,Rainy,Family Trip,7,Tawang
August,Monsoon,Medium,24,Rainy,Family Trip,9,Mussoorie
January,Winter,Low,10,Cold,Adventure,5,Shimla
August,Monsoon,Low,21,Rainy,Family Trip,3,"Pillar Rocks, Kodaikanal"
January,Winter,High,-3,Cold,Adventure,5,Auli
February,Winter,High,11,Cold,Adventure,6,"Palolem Beach, Goa"
December,Winter,High,10,Cold,Adventure,3,"Nohkalikai Falls, Cherrapunji"
August,Monsoon,Medium,21,Rainy,Family Trip,5,"Valley of Flowers, Uttarakhand"
April,Spring,Medium,28,Pleasant,Eco Tourism,7,Rann of Kutch
June,Monsoon,Low,26,Rainy,Family Trip,2,Auli
November,Autumn,High,20,Mild,Cultural,6,"Manali and Kullu, Himachal Pradesh"
August,Monsoon,Low,28,Rainy,Family Trip,7,Wayanad
June,Monsoon,Medium,23,Rainy,Family Trip,7,Goa
February,Winter,High,1,Cold,Adventure,4,Darjeeling
September,Autumn,Medium,19,Mild,Cultural,5,Tawang
April,Spring,High,20,Pleasant,Eco Tourism,9,Kullu
November,Autumn,High,18,Mild,Cultural,6,Shimla
January,Winter,High,-2,Cold,Adventure,8,Gulmarg
February,Winter,Low,14,Cold,Adventure,9,Mussoorie
March,Spring,High,20,Pleasant,Eco Tourism,10,"Tsomgo Lake, Sikkim"
March,Spring,Low,29,Pleasant,Eco Tourism,4,"Attukal Waterfalls, Munnar"
July,Monsoon,High,27,Rainy,Family Trip,3,Coorg
August,Monsoon,Low,21,Rainy,Family Trip,9,Gulmarg
May,Summer,Low,25,Hot,Adventure,5,"Wayanad, Alleppey - Kerala"
June,Monsoon,High,24,Rainy,Family Trip,7,"Manali and Kullu, Himachal Pradesh"
April,Spring,High,24,Pleasant,Eco Tourism,10,"Attukal Waterfalls, Munnar"
June,Monsoon,Medium,21,Rainy,Family Trip,5,Munnar
October,Autumn,Low,20,Mild,Cultural,2,Wayanad
November,Autumn,Medium,21,Mild,Cultural,3,Jaisalmer
June,Monsoon,High,25,Rainy,Family Trip,9,Shimla
September,Autumn,Medium,25,Mild,Cultural,3,"Darjeeling, West Bengal"
March,Spring,High,27,Pleasant,Eco Tourism,9,Auli
September,Autumn,High,23,Mild,Cultural,7,"Elephant Falls, Shillong"
July,Monsoon,Medium,26,Rainy,Family Trip,2,Idukki
April,Spring,Low,27,Pleasant,Eco Tourism,3,Mount Abu
February,Winter,Low,5,Cold,Adventure,9,Shimla
January,Winter,High,9,Cold,Adventure,7,Wayanad
February,Winter,Medium,2,Cold,Adventure,10,Munnar
December,Winter,High,-3,Cold,Adventure,1,"Hampi, Karnataka"
January,Winter,High,-4,Cold,Adventure,6,Rishikesh
October,Autumn,Low,20,Mild,Cultural,8,"Ooty, Tamil Nadu"
February,Winter,Low,5,Cold,Adventure,7,Mussoorie
October,Autumn,High,21,Mild,Cultural,8,Munnar
January,Winter,High,6,Cold,Adventure,6,Kodaikanal
January,Winter,Low,13,Cold,Adventure,6,Ooty
June,Monsoon,Medium,26,Rainy,Family Trip,4,Coorg
July,Monsoon,Low,20,Rainy,Family Trip,6,Gulmarg
August,Monsoon,Low,22,Rainy,Family Trip,6,Ooty
August,Monsoon,High,30,Rainy,Family Trip,2,"Darjeeling, Kalimpong - West Bengal"
August,Monsoon,Medium,28,Rainy,Family Trip,9,Auli
November,Autumn,Low,19,Mild,Cultural,4,Udaipur
September,Autumn,High,16,Mild,Cultural,8,Leh & Ladakh
July,Monsoon,High,30,Rainy,Family Trip,5,Auli
January,Winter,Medium,11,Cold,Adventure,2,"Attukal Waterfalls, Munnar"
January,Winter,Low,2,Cold,Adventure,5,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
October,Autumn,Medium,15,Mild,Cultural,5,Coorg
September,Autumn,Low,23,Mild,Cultural,3,Auli
December,Winter,Medium,6,Cold,Adventure,6,"Darjeeling, Kalimpong - West Bengal"
August,Monsoon,High,24,Rainy,Family Trip,1,Rishikesh
May,Summer,High,30,Hot,Adventure,7,"Valley of Flowers, Uttarakhand"
January,Winter,High,-2,Cold,Adventure,9,"Mahabaleshwar, Maharashtra"
January,Winter,High,12,Cold,Adventure,2,"Tsomgo Lake, Sikkim"
October,Autumn,Medium,20,Mild,Cultural,9,"Sunset Viewpoint, Agumbe"
January,Winter,Low,8,Cold,Adventure,3,"Pushkar, Rajasthan"
November,Autumn,Low,21,Mild,Cultural,6,"Ooty, Tamil Nadu"
March,Spring,Low,21,Pleasant,Eco Tourism,10,Rann of Kutch
April,Spring,Medium,24,Pleasant,Eco Tourism,3,"Tsomgo Lake, Sikkim"
March,Spring,Medium,29,Pleasant,Eco Tourism,8,Kodaikanal
November,Autumn,High,20,Mild,Cultural,8,Dalhousie
August,Monsoon,Medium,25,Rainy,Family Trip,4,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
January,Winter,Low,10,Cold,Adventure,2,"Ooty, Tamil Nadu"
June,Monsoon,High,22,Rainy,Family Trip,7,"Bhushi Dam, Lonavala"
December,Winter,Medium,12,Cold,Adventure,10,Kumili
October,Autumn,Low,18,Mild,Cultural,5,Gangtok
April,Spring,High,16,Pleasant,Eco Tourism,3,"Hampi, Karnataka"
February,Winter,Low,7,Cold,Adventure,1,"Kullu-Manali, Himachal Pradesh"
July,Monsoon,Medium,25,Rainy,Family Trip,7,Auli
July,Monsoon,High,30,Rainy,Family Trip,7,Shimla
April,Spring,Low,22,Pleasant,Eco Tourism,8,Tawang
June,Monsoon,High,27,Rainy,Family Trip,1,"Elephant Falls, Shillong"
April,Spring,Medium,15,Pleasant,Eco Tourism,4,Rishikesh
January,Winter,Low,5,Cold,Adventure,7,"Manali and Kullu, Himachal Pradesh"
April,Spring,High,18,Pleasant,Eco Tourism,4,"Manali and Kullu, Himachal Pradesh"
November,Autumn,Medium,25,Mild,Cultural,4,"Sunset Viewpoint, Agumbe"
March,Spring,Low,19,Pleasant,Eco Tourism,8,"Bhushi Dam, Lonavala"
July,Monsoon,High,20,Rainy,Family Trip,1,"Hampi, Karnataka"
July,Monsoon,High,20,Rainy,Family Trip,5,Goa
February,Winter,High,0,Cold,Adventure,4,"Tsomgo Lake, Sikkim"
January,Winter,High,1,Cold,Adventure,3,Udaipur
September,Autumn,Medium,19,Mild,Cultural,1,"Elephant Falls, Shillong"
January,Winter,Low,3,Cold,Adventure,9,"Wayanad, Alleppey - Kerala"
November,Autumn,Medium,16,Mild,Cultural,8,Jammu-Kashmir
September,Autumn,Low,16,Mild,Cultural,4,Kumili
August,Monsoon,High,30,Rainy,Family Trip,2,"Ooty, Tamil Nadu"
October,Autumn,High,15,Mild,Cultural,6,Tawang
November,Autumn,High,21,Mild,Cultural,9,"Hampi, Karnataka"
February,Winter,Medium,2,Cold,Adventure,8,Mussoorie
June,Monsoon,Medium,30,Rainy,Family Trip,8,Kodaikanal
May,Summer,Low,25,Hot,Adventure,1,"Bhushi Dam, Lonavala"
August,Monsoon,Medium,24,Rainy,Family Trip,8,Jammu-Kashmir
November,Autumn,Low,19,Mild,Cultural,6,Mussoorie
March,Spring,High,21,Pleasant,Eco Tourism,1,Munnar
October,Autumn,High,18,Mild,Cultural,9,"Bhushi Dam, Lonavala"
February,Winter,Medium,15,Cold,Adventure,9,Goa
November,Autumn,Low,25,Mild,Cultural,4,Ooty
December,Winter,High,0,Cold,Adventure,4,Jaisalmer
February,Winter,Low,0,Cold,Adventure,8,Shimla
September,Autumn,Medium,18,Mild,Cultural,4,Mussoorie
May,Summer,Medium,27,Hot,Adventure,6,"Hampi, Karnataka"
February,Winter,Low,13,Cold,Adventure,10,"Valley of Flowers, Uttarakhand"
October,Autumn,High,22,Mild,Cultural,4,Munnar
July,Monsoon,High,23,Rainy,Family Trip,4,"Tsomgo Lake, Sikkim"
December,Winter,High,-4,Cold,Adventure,5,Coorg
March,Spring,Medium,15,Pleasant,Eco Tourism,4,Kullu
May,Summer,Medium,38,Hot,Adventure,1,Coorg
July,Monsoon,Low,20,Rainy,Family Trip,4,Kodaikanal
May,Summer,Medium,25,Hot,Adventure,1,Shimla
September,Autumn,High,16,Mild,Cultural,5,"Attukal Waterfalls, Munnar"
March,Spring,Low,19,Pleasant,Eco Tourism,6,Wayanad
October,Autumn,Low,19,Mild,Cultural,1,Dalhousie
December,Winter,Low,2,Cold,Adventure,7,"Bhushi Dam, Lonavala"
January,Winter,Medium,-2,Cold,Adventure,4,"Amber Palace, Jaipur"
January,Winter,High,-3,Cold,Adventure,9,Darjeeling
April,Spring,Medium,25,Pleasant,Eco Tourism,1,Jammu-Kashmir
May,Summer,High,36,Hot,Adventure,4,"Palolem Beach, Goa"
March,Spring,Low,23,Pleasant,Eco Tourism,6,Kodaikanal
September,Autumn,High,24,Mild,Cultural,4,Jaisalmer
March,Spring,High,30,Pleasant,Eco Tourism,7,Auli
August,Monsoon,High,22,Rainy,Family Trip,6,"Valley of Flowers, Uttarakhand"
June,Monsoon,High,23,Rainy,Family Trip,2,"Leh-Ladakh, Jammu & Kashmir"
November,Autumn,Low,16,Mild,Cultural,4,"Wayanad, Alleppey - Kerala"
March,Spring,Low,26,Pleasant,Eco Tourism,7,Tawang
January,Winter,Low,0,Cold,Adventure,5,Dalhousie
December,Winter,Medium,5,Cold,Adventure,10,"Attukal Waterfalls, Munnar"
May,Summer,Medium,29,Hot,Adventure,1,Jammu-Kashmir
November,Autumn,High,19,Mild,Cultural,10,"Ooty, Tamil Nadu"
September,Autumn,High,16,Mild,Cultural,1,Mussoorie
July,Monsoon,Medium,24,Rainy,Family Trip,10,"Sunset Viewpoint, Agumbe"
September,Autumn,Low,19,Mild,Cultural,6,"Elephant Falls, Shillong"
June,Monsoon,Medium,20,Rainy,Family Trip,3,Darjeeling
March,Spring,Medium,26,Pleasant,Eco Tourism,10,"Bhushi Dam, Lonavala"
April,Spring,Medium,27,Pleasant,Eco Tourism,5,"Mahabaleshwar, Maharashtra"
September,Autumn,Medium,16,Mild,Cultural,9,Shillong
July,Monsoon,Low,23,Rainy,Family Trip,1,Shillong
March,Spring,Medium,15,Pleasant,Eco Tourism,6,Shimla
January,Winter,Low,3,Cold,Adventure,6,Kullu
May,Summer,Low,40,Hot,Adventure,3,"Nilgiris Tiger Reserves, Karnataka"
July,Monsoon,Medium,25,Rainy,Family Trip,3,Shillong
May,Summer,Medium,31,Hot,Adventure,2,"Elephant Falls, Shillong"
November,Autumn,Low,17,Mild,Cultural,1,"Abbey Falls, Coorg"
November,Autumn,Medium,18,Mild,Cultural,1,"Hampi, Karnataka"
February,Winter,Low,-3,Cold,Adventure,10,Darjeeling
March,Spring,High,18,Pleasant,Eco Tourism,5,Gulmarg
March,Spring,Medium,25,Pleasant,Eco Tourism,2,"Tsomgo Lake, Sikkim"
February,Winter,Low,9,Cold,Adventure,2,Udaipur
July,Monsoon,Medium,27,Rainy,Family Trip,7,Udaipur
October,Autumn,Low,18,Mild,Cultural,2,"Pillar Rocks, Kodaikanal"
September,Autumn,Low,24,Mild,Cultural,8,"Kullu-Manali, Himachal Pradesh"
October,Autumn,Medium,17,Mild,Cultural,4,Shillong
September,Autumn,High,21,Mild,Cultural,3,Kumili
February,Winter,High,5,Cold,Adventure,7,Gangtok
June,Monsoon,Medium,24,Rainy,Family Trip,6,Gangtok
October,Autumn,Low,16,Mild,Cultural,6,"Bhushi Dam, Lonavala"
October,Autumn,Low,20,Mild,Cultural,9,Wayanad
June,Monsoon,Medium,26,Rainy,Family Trip,5,"Darjeeling, Kalimpong - West Bengal"
December,Winter,Medium,-5,Cold,Adventure,2,Ooty
May,Summer,High,30,Hot,Adventure,5,"Rann of Kutch, Gujarat"
November,Autumn,Low,23,Mild,Cultural,8,"Valley of Flowers, Uttarakhand"
January,Winter,Low,-2,Cold,Adventure,1,Goa
December,Winter,Medium,-3,Cold,Adventure,5,"Wayanad, Alleppey - Kerala"
January,Winter,Low,11,Cold,Adventure,10,"Hampi, Karnataka"
November,Autumn,High,20,Mild,Cultural,9,"Pushkar, Rajasthan"
April,Spring,High,28,Pleasant,Eco Tourism,10,Kullu
October,Autumn,Medium,17,Mild,Cultural,7,"Pushkar, Rajasthan"
May,Summer,High,31,Hot,Adventure,10,"Attukal Waterfalls, Munnar"
April,Spring,Low,28,Pleasant,Eco Tourism,8,"Bhushi Dam, Lonavala"
May,Summer,High,32,Hot,Adventure,1,Jammu-Kashmir
October,Autumn,Low,21,Mild,Cultural,7,Jammu-Kashmir
September,Autumn,Low,25,Mild,Cultural,10,"Wayanad, Alleppey - Kerala"
February,Winter,High,0,Cold,Adventure,9,"Palolem Beach, Goa"
April,Spring,Medium,27,Pleasant,Eco Tourism,8,"Wayanad, Alleppey - Kerala"
May,Summer,Low,28,Hot,Adventure,3,"Sunset Viewpoint, Agumbe"
January,Winter,Medium,1,Cold,Adventure,2,"Palolem Beach, Goa"
